City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Indianapolis,39.7684,-86.158,5.59,31,0,3.15,2021-11-23 21:00:00
Indianapolis,39.7684,-86.158,9.54,49,100,6.53,2021-11-24 21:00:00
Indianapolis,39.7684,-86.158,5.94,74,100,4.36,2021-11-25 21:00:00
Indianapolis,39.7684,-86.158,2.89,30,100,2.43,2021-11-26 21:00:00
San Francisco,37.7749,-122.4194,18.94,53,1,2.85,2021-11-22 21:00:00
San Francisco,37.7749,-122.4194,15.04,64,100,3.65,2021-11-23 21:00:00
San Francisco,37.7749,-122.4194,15.35,35,32,2.73,2021-11-24 21:00:00
San Francisco,37.7749,-122.4194,15.76,41,81,2.92,2021-11-25 21:00:00
San Francisco,37.7749,-122.4194,16.09,38,76,3.0,2021-11-26 21:00:00
Seattle,47.6062,-122.3321,8.3,75,90,3.37,2021-11-22 21:00:00
Seattle,47.6062,-122.3321,7.67,85,100,0.91,2021-11-23 21:00:00
Seattle,47.6062,-122.3321,8.5,68,100,2.22,2021-11-24 21:00:00
Seattle,47.6062,-122.3321,7.1,94,100,3.3,2021-11-25 21:00:00
Seattle,47.6062,-122.3321,11.57,88,100,4.26,2021-11-26 21:00:00
Denver,39.7392,-104.9847,19.92,13,0,0.92,2021-11-22 21:00:00
Denver,39.7392,-104.9847,17.08,10,100,1.95,2021-11-23 21:00:00
Denver,39.7392,-104.9847,7.65,35,100,4.04,2021-11-24 21:00:00
Denver,39.7392,-104.9847,10.74,15,0,3.35,2021-11-25 21:00:00
Denver,39.7392,-104.9847,15.42,22,31,1.11,2021-11-26 21:00:00
Washington,47.5001,-120.5015,7.38,53,98,1.76,2021-11-22 21:00:00
Washington,47.5001,-120.5015,9.74,38,8,4.43,2021-11-23 21:00:00
Washington,47.5001,-120.5015,5.63,54,100,1.42,2021-11-24 21:00:00
Washington,47.5001,-120.5015,3.77,89,100,1.2,2021-11-25 21:00:00
Washington,47.5001,-120.5015,12.28,72,64,0.55,2021-11-26 21:00:00
Boston,42.3584,-71.0598,10.35,67,90,4.41,2021-11-22 21:00:00
Boston,42.3584,-71.0598,3.42,36,5,5.18,2021-11-23 21:00:00
Boston,42.3584,-71.0598,5.23,28,3,3.53,2021-11-24 21:00:00
Boston,42.3584,-71.0598,9.36,41,100,0.4,2021-11-25 21:00:00
Boston,42.3584,-71.0598,4.14,79,100,6.19,2021-11-26 21:00:00
El Paso,31.8001,-106.2005,16.56,28,75,0.47,2021-11-22 21:00:00
El Paso,31.8001,-106.2005,18.53,27,98,2.53,2021-11-23 21:00:00
El Paso,31.8001,-106.2005,17.18,39,99,9.38,2021-11-24 21:00:00
El Paso,31.8001,-106.2005,13.34,27,94,7.78,2021-11-25 21:00:00
El Paso,31.8001,-106.2005,12.12,32,100,0.72,2021-11-26 21:00:00
Nashville,36.1659,-86.7844,7.16,43,1,4.34,2021-11-22 21:00:00
Nashville,36.1659,-86.7844,8.87,26,0,1.1,2021-11-23 21:00:00
Nashville,36.1659,-86.7844,12.33,47,99,4.86,2021-11-24 21:00:00
Nashville,36.1659,-86.7844,9.09,97,100,2.78,2021-11-25 21:00:00
Nashville,36.1659,-86.7844,7.29,35,0,1.7,2021-11-26 21:00:00
Oklahoma City,35.4676,-97.5164,17.64,35,20,6.34,2021-11-22 21:00:00
Oklahoma City,35.4676,-97.5164,20.11,25,0,9.6,2021-11-23 21:00:00
Oklahoma City,35.4676,-97.5164,20.76,58,100,8.7,2021-11-24 21:00:00
Oklahoma City,35.4676,-97.5164,10.49,30,38,7.81,2021-11-25 21:00:00
Oklahoma City,35.4676,-97.5164,14.1,24,28,6.77,2021-11-26 21:00:00
Las Vegas,36.175,-115.1372,18.69,16,1,1.56,2021-11-22 21:00:00
Las Vegas,36.175,-115.1372,20.69,14,99,1.19,2021-11-23 21:00:00
Las Vegas,36.175,-115.1372,16.62,11,1,7.03,2021-11-24 21:00:00
Las Vegas,36.175,-115.1372,16.05,10,0,3.2,2021-11-25 21:00:00
Las Vegas,36.175,-115.1372,16.97,9,26,0.94,2021-11-26 21:00:00
Detroit,42.3314,-83.0458,2.61,43,1,4.71,2021-11-22 21:00:00
Detroit,42.3314,-83.0458,2.94,38,0,2.68,2021-11-23 21:00:00
Detroit,42.3314,-83.0458,8.06,46,100,6.39,2021-11-24 21:00:00
Detroit,42.3314,-83.0458,6.46,83,100,4.26,2021-11-25 21:00:00
Detroit,42.3314,-83.0458,1.46,43,97,4.28,2021-11-26 21:00:00
Portland,45.5234,-122.6762,10.09,87,75,0.98,2021-11-22 21:00:00
Portland,45.5234,-122.6762,10.06,73,89,3.25,2021-11-23 21:00:00
Portland,45.5234,-122.6762,9.66,63,99,0.91,2021-11-24 21:00:00
Portland,45.5234,-122.6762,11.24,54,100,1.19,2021-11-25 21:00:00
Portland,45.5234,-122.6762,10.56,90,100,1.36,2021-11-26 21:00:00
Memphis,35.1495,-90.049,10.44,35,40,4.31,2021-11-22 21:00:00
Memphis,35.1495,-90.049,12.67,29,0,3.25,2021-11-23 21:00:00
Memphis,35.1495,-90.049,16.54,35,92,6.26,2021-11-24 21:00:00
Memphis,35.1495,-90.049,9.38,85,100,5.87,2021-11-25 21:00:00
Memphis,35.1495,-90.049,8.88,29,0,1.83,2021-11-26 21:00:00
Louisville,38.2542,-85.7594,4.74,50,1,3.82,2021-11-22 21:00:00
Louisville,38.2542,-85.7594,7.19,26,0,1.53,2021-11-23 21:00:00
Louisville,38.2542,-85.7594,10.92,45,100,4.96,2021-11-24 21:00:00
Louisville,38.2542,-85.7594,7.93,96,100,2.42,2021-11-25 21:00:00
Louisville,38.2542,-85.7594,5.66,31,45,2.26,2021-11-26 21:00:00
Milwaukee,43.0006,-87.9668,0.68,28,75,5.65,2021-11-22 21:00:00
Milwaukee,43.0006,-87.9668,5.34,37,28,6.07,2021-11-23 21:00:00
Milwaukee,43.0006,-87.9668,10.2,54,100,7.14,2021-11-24 21:00:00
Milwaukee,43.0006,-87.9668,2.08,61,99,6.36,2021-11-25 21:00:00
Milwaukee,43.0006,-87.9668,-0.75,30,100,1.16,2021-11-26 21:00:00
Baltimore,39.2904,-76.6122,9.53,45,75,5.51,2021-11-22 21:00:00
Baltimore,39.2904,-76.6122,6.08,33,46,5.01,2021-11-23 21:00:00
Baltimore,39.2904,-76.6122,8.42,31,2,1.99,2021-11-24 21:00:00
Baltimore,39.2904,-76.6122,11.84,38,63,1.77,2021-11-25 21:00:00
Baltimore,39.2904,-76.6122,5.38,44,6,8.16,2021-11-26 21:00:00
Albuquerque,35.0845,-106.6511,14.9,26,20,1.42,2021-11-22 21:00:00
Albuquerque,35.0845,-106.6511,15.61,23,75,3.04,2021-11-23 21:00:00
Albuquerque,35.0845,-106.6511,15.12,27,66,4.46,2021-11-24 21:00:00
Albuquerque,35.0845,-106.6511,10.41,27,0,1.59,2021-11-25 21:00:00
Albuquerque,35.0845,-106.6511,11.72,14,0,2.06,2021-11-26 21:00:00
Tucson,32.2217,-110.9265,25.07,19,1,6.06,2021-11-22 21:00:00
Tucson,32.2217,-110.9265,25.42,21,97,7.43,2021-11-23 21:00:00
Tucson,32.2217,-110.9265,20.29,31,74,1.1,2021-11-24 21:00:00
Tucson,32.2217,-110.9265,21.99,27,1,5.12,2021-11-25 21:00:00
Tucson,32.2217,-110.9265,21.8,23,0,4.92,2021-11-26 21:00:00
Mesa,33.4223,-111.8226,26.48,17,1,3.14,2021-11-22 21:00:00
Mesa,33.4223,-111.8226,25.55,19,93,2.79,2021-11-23 21:00:00
Mesa,33.4223,-111.8226,22.81,20,100,2.43,2021-11-24 21:00:00
Mesa,33.4223,-111.8226,23.69,14,0,3.29,2021-11-25 21:00:00
Mesa,33.4223,-111.8226,23.52,15,0,1.6,2021-11-26 21:00:00
Fresno,36.6666,-119.8343,20.74,93,90,0.19,2021-11-22 21:00:00
Fresno,36.6666,-119.8343,20.47,26,34,3.46,2021-11-23 21:00:00
Fresno,36.6666,-119.8343,16.27,39,27,0.42,2021-11-24 21:00:00
Fresno,36.6666,-119.8343,18.88,30,48,0.63,2021-11-25 21:00:00
Fresno,36.6666,-119.8343,18.67,27,80,2.7,2021-11-26 21:00:00
Sacramento,38.4666,-121.3177,18.47,66,1,0.62,2021-11-22 21:00:00
Sacramento,38.4666,-121.3177,16.65,42,65,3.44,2021-11-23 21:00:00
Sacramento,38.4666,-121.3177,15.65,27,26,1.74,2021-11-24 21:00:00
Sacramento,38.4666,-121.3177,16.34,31,90,1.19,2021-11-25 21:00:00
Sacramento,38.4666,-121.3177,17.52,32,52,2.31,2021-11-26 21:00:00
Atlanta,33.749,-84.388,14.48,44,1,6.09,2021-11-22 21:00:00
Atlanta,33.749,-84.388,11.77,21,0,3.19,2021-11-23 21:00:00
Atlanta,33.749,-84.388,13.2,22,44,2.35,2021-11-24 21:00:00
Atlanta,33.749,-84.388,16.44,37,41,3.54,2021-11-25 21:00:00
Atlanta,33.749,-84.388,10.29,28,27,5.42,2021-11-26 21:00:00
Kansas City,39.0997,-94.5786,8.82,34,1,3.55,2021-11-22 21:00:00
Kansas City,39.0997,-94.5786,15.58,42,0,6.91,2021-11-23 21:00:00
Kansas City,39.0997,-94.5786,16.27,67,100,5.16,2021-11-24 21:00:00
Kansas City,39.0997,-94.5786,4.44,29,1,5.47,2021-11-25 21:00:00
Kansas City,39.0997,-94.5786,13.48,33,10,6.51,2021-11-26 21:00:00
Colorado Springs,38.8339,-104.8214,16.86,15,40,1.67,2021-11-22 21:00:00
Colorado Springs,38.8339,-104.8214,17.11,15,100,4.36,2021-11-23 21:00:00
Colorado Springs,38.8339,-104.8214,5.05,59,94,4.27,2021-11-24 21:00:00
Colorado Springs,38.8339,-104.8214,8.31,23,0,2.3,2021-11-25 21:00:00
Colorado Springs,38.8339,-104.8214,15.81,20,0,0.82,2021-11-26 21:00:00
Raleigh,35.7721,-78.6386,12.0,81,75,4.66,2021-11-22 21:00:00
Raleigh,35.7721,-78.6386,7.92,27,1,4.5,2021-11-23 21:00:00
Raleigh,35.7721,-78.6386,9.95,30,0,1.45,2021-11-24 21:00:00
Raleigh,35.7721,-78.6386,14.09,32,78,3.83,2021-11-25 21:00:00
Raleigh,35.7721,-78.6386,9.58,33,0,6.24,2021-11-26 21:00:00
Omaha,41.2586,-95.9378,8.3,38,75,3.92,2021-11-22 21:00:00
Omaha,41.2586,-95.9378,16.05,35,0,8.41,2021-11-23 21:00:00
Omaha,41.2586,-95.9378,10.02,40,100,7.26,2021-11-24 21:00:00
Omaha,41.2586,-95.9378,1.98,29,0,4.13,2021-11-25 21:00:00
Omaha,41.2586,-95.9378,14.27,29,76,2.99,2021-11-26 21:00:00
Miami,25.7743,-80.1937,28.36,68,75,6.33,2021-11-22 21:00:00
Miami,25.7743,-80.1937,22.65,36,0,8.36,2021-11-23 21:00:00
Miami,25.7743,-80.1937,21.88,62,100,7.94,2021-11-24 21:00:00
Miami,25.7743,-80.1937,23.31,61,75,6.08,2021-11-25 21:00:00
Miami,25.7743,-80.1937,24.18,54,72,5.28,2021-11-26 21:00:00
Long Beach,33.767,-118.1892,28.52,11,1,1.35,2021-11-22 21:00:00
Long Beach,33.767,-118.1892,20.92,40,9,1.87,2021-11-23 21:00:00
Long Beach,33.767,-118.1892,19.5,56,0,1.68,2021-11-24 21:00:00
Long Beach,33.767,-118.1892,23.46,15,0,3.37,2021-11-25 21:00:00
Long Beach,33.767,-118.1892,23.55,14,6,2.39,2021-11-26 21:00:00
Virginia Beach,36.8529,-75.978,10.48,91,100,9.08,2021-11-22 21:00:00
Virginia Beach,36.8529,-75.978,6.86,42,3,8.47,2021-11-23 21:00:00
Virginia Beach,36.8529,-75.978,7.45,40,0,2.18,2021-11-24 21:00:00
Virginia Beach,36.8529,-75.978,13.28,45,75,4.45,2021-11-25 21:00:00
Virginia Beach,36.8529,-75.978,9.27,38,3,10.24,2021-11-26 21:00:00
Oakland,42.6667,-83.3999,1.52,49,20,5.41,2021-11-22 21:00:00
Oakland,42.6667,-83.3999,1.58,43,1,2.52,2021-11-23 21:00:00
Oakland,42.6667,-83.3999,6.29,51,100,6.86,2021-11-24 21:00:00
Oakland,42.6667,-83.3999,4.62,86,100,5.66,2021-11-25 21:00:00
Oakland,42.6667,-83.3999,0.24,47,97,4.72,2021-11-26 21:00:00
Minneapolis,44.98,-93.2638,0.09,47,75,2.01,2021-11-22 21:00:00
Minneapolis,44.98,-93.2638,7.88,46,99,5.46,2021-11-23 21:00:00
Minneapolis,44.98,-93.2638,3.48,69,100,5.72,2021-11-24 21:00:00
Minneapolis,44.98,-93.2638,-2.09,33,0,3.97,2021-11-25 21:00:00
Minneapolis,44.98,-93.2638,1.59,36,8,1.13,2021-11-26 21:00:00
Tampa,27.9475,-82.4584,23.35,66,40,6.1,2021-11-22 21:00:00
Tampa,27.9475,-82.4584,18.16,38,0,6.06,2021-11-23 21:00:00
Tampa,27.9475,-82.4584,20.42,51,3,6.49,2021-11-24 21:00:00
Tampa,27.9475,-82.4584,21.95,55,77,3.02,2021-11-25 21:00:00
Tampa,27.9475,-82.4584,21.31,53,37,5.46,2021-11-26 21:00:00
Tulsa,36.1001,-95.9003,15.82,34,1,3.79,2021-11-22 21:00:00
Tulsa,36.1001,-95.9003,17.88,33,0,8.03,2021-11-23 21:00:00
Tulsa,36.1001,-95.9003,18.9,69,100,8.57,2021-11-24 21:00:00
Tulsa,36.1001,-95.9003,9.24,35,42,7.14,2021-11-25 21:00:00
Tulsa,36.1001,-95.9003,13.71,29,1,5.85,2021-11-26 21:00:00
Arlington,32.7357,-97.1081,18.32,28,1,2.19,2021-11-22 21:00:00
Arlington,32.7357,-97.1081,20.07,21,12,6.34,2021-11-23 21:00:00
Arlington,32.7357,-97.1081,21.04,67,98,6.04,2021-11-24 21:00:00
Arlington,32.7357,-97.1081,14.57,32,46,7.74,2021-11-25 21:00:00
Arlington,32.7357,-97.1081,13.43,18,100,0.73,2021-11-26 21:00:00
Wichita,37.6922,-97.3375,15.25,39,40,3.54,2021-11-22 21:00:00
Wichita,37.6922,-97.3375,18.72,30,0,8.99,2021-11-23 21:00:00
Wichita,37.6922,-97.3375,18.71,33,100,4.76,2021-11-24 21:00:00
Wichita,37.6922,-97.3375,8.26,28,18,4.92,2021-11-25 21:00:00
Wichita,37.6922,-97.3375,15.87,26,0,5.86,2021-11-26 21:00:00
Bakersfield,35.3733,-119.0187,22.53,14,0,1.97,2021-11-22 21:00:00
Bakersfield,35.3733,-119.0187,21.18,21,28,2.49,2021-11-23 21:00:00
Bakersfield,35.3733,-119.0187,17.27,36,4,2.11,2021-11-24 21:00:00
Bakersfield,35.3733,-119.0187,21.2,12,48,1.02,2021-11-25 21:00:00
Bakersfield,35.3733,-119.0187,20.37,10,95,2.33,2021-11-26 21:00:00
Aurora,39.7294,-104.8319,19.75,13,20,0.39,2021-11-22 21:00:00
Aurora,39.7294,-104.8319,17.0,9,100,1.83,2021-11-23 21:00:00
Aurora,39.7294,-104.8319,8.01,25,100,3.23,2021-11-24 21:00:00
